L,batch,backend,representation,mean_ms,std_ms,median_ms,min_ms,max_ms,ms_per_sample,matched_speedup_vs_bspline,stack_speedup_vs_pytorch,warmup,iters
32,16,PyTorch,Float PyKAN,312.902551,13.983977679086554,310.3547,292.5261,367.5164,19.5564094375,,1.0,10,100
32,16,NumPy,B-spline,1259.9521459999999,169.52805388392858,1205.1981500000002,802.7734,1698.055,78.74700912499999,1.0,0.24834478991394968,10,100
32,16,NumPy,LUT,17.185328,1.86935669678479,16.66055,14.959,24.886,1.074083,73.31557163180126,18.207540234320813,10,100
32,16,Numba,B-spline,6.294679999999999,0.44056479522072434,6.2572,5.4061,7.9759,0.3934174999999999,1.0,49.70904811682247,10,100
32,16,Numba,LUT,0.34458999999999995,0.06422574218797288,0.33565,0.2361,0.7106,0.021536874999999997,18.267158071911545,908.043039554253,10,100
32,256,PyTorch,Float PyKAN,342.40401099999997,22.248755983926426,335.7188,302.0921,428.008,1.3375156679687499,,1.0,10,100
32,256,NumPy,B-spline,1291.9797780000001,209.21292677720845,1338.9172,913.4729,1809.5069,5.0467960078125005,1.0,0.2650227324223645,10,100
32,256,NumPy,LUT,27.268299,3.2468600667459153,26.36065,24.5355,51.939,0.10651679296875,47.38028499687495,12.556852592822162,10,100
32,256,Numba,B-spline,88.03969499999998,3.023690097034423,87.04220000000001,83.8648,98.353,0.3439050585937499,1.0,3.8892003317367245,10,100
32,256,Numba,LUT,6.389501,0.9116542781824055,6.36955,4.7725,8.5626,0.02495898828125,13.778806044478275,53.58853703912089,10,100
32,1024,PyTorch,Float PyKAN,427.24295700000005,33.67709238559244,425.7795,370.0974,538.2004,0.41722945019531255,,1.0,10,100
32,1024,NumPy,B-spline,1905.5180450000003,114.9644441762795,1905.4964,1677.7861,2238.904,1.8608574658203128,1.0,0.22421354556104453,10,100
32,1024,NumPy,LUT,83.19215100000001,8.643037853490384,81.88965,68.3113,104.3763,0.08124233496093751,22.905021953333073,5.13561618331037,10,100
32,1024,Numba,B-spline,351.08521499999995,7.424020573124561,350.1694,337.637,372.4361,0.34285665527343745,1.0,1.2169209603429187,10,100
32,1024,Numba,LUT,22.31864700000001,2.858965275719292,21.26975,19.1318,34.8261,0.02179555371093751,15.730577888525223,19.142869950853196,10,100
64,1,PyTorch,Float PyKAN,277.223516,30.41890071431274,271.87194999999997,231.3397,352.6342,277.223516,,1.0,10,100
64,1,NumPy,B-spline,1344.118196,149.546229071141,1298.1235499999998,1127.256,1730.8927,1344.118196,1.0,0.2062493587431503,10,100
64,1,NumPy,LUT,16.357371999999998,4.321569406520009,15.2064,12.9642,51.5647,16.357371999999998,82.17201369510946,16.947925131249693,10,100
64,1,Numba,B-spline,1.193229,0.13583113349771003,1.19865,0.8096,1.8107,1.193229,1.0,232.3305216349921,10,100
64,1,Numba,LUT,0.064034,0.105745418717777,0.0456,0.0296,1.0737,0.064034,18.634303651185313,4329.317487584722,10,100
64,16,PyTorch,Float PyKAN,328.67848299999997,26.26993090123319,322.09479999999996,270.1357,399.6507,20.542405187499998,,1.0,10,100
64,16,NumPy,B-spline,1286.510678,115.50725670891379,1263.09105,1123.0741,1689.2236,80.406917375,1.0,0.2554805713007848,10,100
64,16,NumPy,LUT,19.757637,4.559678660365102,17.9005,15.0307,32.1605,1.2348523125,65.11460241930754,16.63551582610815,10,100
64,16,Numba,B-spline,6.720541999999999,0.615480685462816,6.5722000000000005,5.5449,8.3058,0.42003387499999995,1.0,48.906543996005084,10,100
64,16,Numba,LUT,0.34417299999999995,0.057008595586166395,0.33020000000000005,0.2338,0.531,0.021510812499999997,19.526639219229864,954.9804400693838,10,100
64,256,PyTorch,Float PyKAN,361.44007100000005,32.70028007458378,352.37895000000003,313.2108,452.287,1.4118752773437502,,1.0,10,100
64,256,NumPy,B-spline,1451.456161,144.1814740631136,1423.0088500000002,1281.611,1981.4082,5.66975062890625,1.0,0.24901893747240778,10,100
64,256,NumPy,LUT,27.300062000000004,4.032921493117927,26.21075,24.3514,44.6242,0.10664086718750002,53.16677159927328,13.23953297248922,10,100
64,256,Numba,B-spline,88.663699,3.2332637604665755,87.91409999999999,83.5918,97.3593,0.34634257421875,1.0,4.076528219288483,10,100
64,256,Numba,LUT,6.680914999999998,1.4357292303578835,6.56615,4.6245,17.7234,0.026097324218749992,13.271190997041575,54.10038460300725,10,100
64,1024,PyTorch,Float PyKAN,433.80330200000003,33.77270957998089,432.803,366.1999,512.3702,0.42363603710937503,,1.0,10,100
64,1024,NumPy,B-spline,1841.600744,276.9350943086774,1901.0191,1180.4616,2245.3213,1.7984382265625,1.0,0.23555773606920308,10,100
64,1024,NumPy,LUT,51.35844999999999,4.270215418205361,49.9363,48.6387,69.9128,0.05015473632812499,35.857794462255,8.446580883963595,10,100
64,1024,Numba,B-spline,286.87421699999993,45.95947357550329,252.8717,246.3797,377.87,0.28015060253906243,1.0,1.5121725003261626,10,100
64,1024,Numba,LUT,22.935964999999996,3.7081936018175488,21.0482,19.2526,31.4284,0.022398403320312496,12.5076148747175,18.913671258218265,10,100
128,1,PyTorch,Float PyKAN,282.495863,36.72446060464266,275.7428,231.1488,381.9759,282.495863,,1.0,10,100
128,1,NumPy,B-spline,1111.516352,212.47596923290814,1185.24905,794.0166,1627.2677,1111.516352,1.0,0.25415358261863874,10,100
128,1,NumPy,LUT,10.68994,1.7142879702221807,10.06995,9.5308,19.329,10.68994,103.97779145626637,26.426328211383787,10,100
128,1,Numba,B-spline,0.8233439999999999,0.0831684068804393,0.79855,0.7911,1.4285,0.8233439999999999,1.0,343.10793908742886,10,100
128,1,Numba,LUT,0.032092999999999997,0.004617123486861629,0.0309,0.0303,0.0591,0.032092999999999997,25.654940329666903,8802.413703922974,10,100
128,16,PyTorch,Float PyKAN,226.64068100000003,27.6000715384364,224.54335,185.7619,387.7871,14.165042562500002,,1.0,10,100
128,16,NumPy,B-spline,1184.456755,194.64813549448934,1204.1299,810.7813,1643.2683,74.0285471875,1.0,0.1913456781290424,10,100
128,16,NumPy,LUT,17.773265000000002,1.381750879429078,17.46605,15.5619,22.8607,1.1108290625000001,66.64260927859905,12.75177526470235,10,100
128,16,Numba,B-spline,6.989474,0.6739021647093887,6.686,5.5263,8.5631,0.436842125,1.0,32.42599958165665,10,100
128,16,Numba,LUT,0.37849999999999995,0.06580396199425544,0.36565000000000003,0.2439,0.7206,0.023656249999999997,18.466245706737123,598.7864755614269,10,100
128,256,PyTorch,Float PyKAN,340.418473,17.297988303121265,337.89,309.7821,391.3321,1.32975966015625,,1.0,10,100
128,256,NumPy,B-spline,1370.190919,96.92139595648361,1364.41055,952.3378,1610.6558,5.35230827734375,1.0,0.24844601455134885,10,100
128,256,NumPy,LUT,26.589209,1.8009440659570914,26.192700000000002,24.609,37.8831,0.10386409765625,51.53184207172165,12.802880785208767,10,100
128,256,Numba,B-spline,87.75855099999998,3.5004100035320533,86.78725,83.049,106.5993,0.34280683984374993,1.0,3.8790347962787135,10,100
128,256,Numba,LUT,6.635533999999999,1.7454280446453077,6.1233,4.99,16.1649,0.025920054687499996,13.22554462082479,51.30234778391612,10,100
128,1024,PyTorch,Float PyKAN,406.90173300000004,20.703446007007184,403.88955,371.366,475.3903,0.39736497363281253,,1.0,10,100
128,1024,NumPy,B-spline,1776.4227460000006,165.04849045730725,1732.5792999999999,1629.6874,2635.4285,1.7347878378906256,1.0,0.22905681314666068,10,100
128,1024,NumPy,LUT,70.761427,5.541957097804899,69.03535,66.026,107.8772,0.0691029560546875,25.10439403659851,5.750332494001287,10,100
128,1024,Numba,B-spline,329.721654,38.901919573087824,343.04175,248.508,446.774,0.321993802734375,1.0,1.2340764643865338,10,100
128,1024,Numba,LUT,20.702685000000002,0.7208033097793662,20.55925,19.68,25.3775,0.020217465820312502,15.926516488078718,19.65453915760202,10,100
