results_path,run_dir,exp_name,scheme,dtype,seed,value_representation,boundary_mode,interp,oob_policy_mode,L,out_mae,out_rmse,out_max_abs,in_mae,in_rmse,in_max_abs,oob_mae,oob_rmse,oob_max_abs,oob_any_frac,bspline_numpy_vs_float_max_abs,bspline_numba_vs_float_max_abs,ms_float,ms_ref,ms_bspline_numpy,ms_bspline_numba,ms_lut_numpy,ms_lut_numba,speedup_lut_numpy_vs_bspline_numpy,speedup_lut_numba_vs_bspline_numba,model_bytes,lut_bytes,lut_over_model
outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_half_open_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_half_open_clip_x\run_000,ncaa_r1_s1_L64_int8_symmetric_half_open_clip_x,symmetric,int8,1,spline_component,half_open,linear,clip_x,64,1.7575086530996487e-05,2.207363286288455e-05,8.9988112449646e-05,1.7862799722934142e-05,2.244656025141012e-05,8.9988112449646e-05,1.697539846645668e-05,2.127532206941396e-05,8.513033390045166e-05,0.32421875,2.384185791015625e-07,2.384185791015625e-07,26.786100000026636,12.333792000135873,58.78647899997304,9.772584000020288,2.9432109999470413,0.8310350000101607,19.97358633174136,11.759533593531923,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_half_open_zero_spline\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L64_int8_symmetric_half_open_zero_spline\run_000,ncaa_r1_s1_L64_int8_symmetric_half_open_zero_spline,symmetric,int8,1,spline_component,half_open,linear,zero_spline,64,1.7575053789187223e-05,2.2073594664107077e-05,8.9988112449646e-05,1.7862766981124878e-05,2.244652387162205e-05,8.9988112449646e-05,1.697536754363682e-05,2.1275283870636486e-05,8.513033390045166e-05,0.32421875,2.384185791015625e-07,2.384185791015625e-07,26.244683999975678,12.875192000064999,54.20166600000812,9.57518600000185,3.6661340000864584,0.8230660000117496,14.784420318168916,11.633557940511649,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s1_L64_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L64_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s1_L64_uint8_asymmetric_closed_clip_x,asymmetric,uint8,1,spline_component,closed,linear,clip_x,64,9.57212432695087e-06,1.2164641702838708e-05,5.9232115745544434e-05,9.57212432695087e-06,1.2164641702838708e-05,5.9232115745544434e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,26.56614500010619,11.799689000035869,55.48682699998608,9.752142999932403,2.854522999987239,0.7979589999013115,19.438213319785522,12.22135849227656,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s1_L64_uint8_asymmetric_half_open_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s1_L64_uint8_asymmetric_half_open_clip_x\run_000,ncaa_r1_s1_L64_uint8_asymmetric_half_open_clip_x,asymmetric,uint8,1,spline_component,half_open,linear,clip_x,64,9.57212432695087e-06,1.2164641702838708e-05,5.9232115745544434e-05,9.788835086510517e-06,1.2458502169465646e-05,5.9232115745544434e-05,9.120424692810047e-06,1.152808363258373e-05,4.7713518142700195e-05,0.32421875,2.384185791015625e-07,2.384185791015625e-07,27.86885199995595,11.615760999993654,58.270671000063885,11.062982000003103,2.813826999918092,0.8036910000373609,20.7086899804999,13.765218223781057,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s2_L128_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s2_L128_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s2_L128_int8_symmetric_closed_clip_x,symmetric,int8,2,spline_component,closed,linear,clip_x,128,1.7801688954932615e-05,2.2328820705297403e-05,9.140372276306152e-05,1.7801688954932615e-05,2.2328820705297403e-05,9.140372276306152e-05,0.0,0.0,0.0,0.0,1.7881393432617188e-07,1.7881393432617188e-07,28.890314000018407,12.07980300008785,62.20046699992963,9.795097999885911,2.8287759999511763,0.821771000046283,21.988473813763687,11.919498253569719,6808,147900,21.724441833137487
outputs\ncaa_r1_controlled\runs\s2_L128_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s2_L128_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s2_L128_uint8_asymmetric_closed_clip_x,asymmetric,uint8,2,spline_component,closed,linear,clip_x,128,9.710203812574036e-06,1.2386040907585993e-05,5.8457255363464355e-05,9.710203812574036e-06,1.2386040907585993e-05,5.8457255363464355e-05,0.0,0.0,0.0,0.0,1.7881393432617188e-07,1.7881393432617188e-07,28.471283999970183,12.578219999995781,58.95126800009166,9.785795000061626,3.399079999944661,0.7949889999872539,17.34330112884999,12.309346418904566,6808,147900,21.724441833137487
outputs\ncaa_r1_controlled\runs\s2_L16_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s2_L16_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s2_L16_int8_symmetric_closed_clip_x,symmetric,int8,2,spline_component,closed,linear,clip_x,16,2.0503575797192752e-05,2.575416147010401e-05,0.0001246631145477295,2.0503575797192752e-05,2.575416147010401e-05,0.0001246631145477295,0.0,0.0,0.0,0.0,1.7881393432617188e-07,1.7881393432617188e-07,28.183203999942634,13.139286000077846,58.040417000011075,9.723996999964584,3.58271799996146,0.807626000023447,16.200107572138087,12.04022282551859,6808,22460,3.299059929494712
outputs\ncaa_r1_controlled\runs\s2_L16_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s2_L16_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s2_L16_uint8_asymmetric_closed_clip_x,asymmetric,uint8,2,spline_component,closed,linear,clip_x,16,1.4190587535267696e-05,1.8010510757449083e-05,7.724761962890625e-05,1.4190587535267696e-05,1.8010510757449083e-05,7.724761962890625e-05,0.0,0.0,0.0,0.0,1.7881393432617188e-07,1.7881393432617188e-07,28.792281999922125,12.217310999985784,58.397492000076454,10.038178999966476,3.206657999980962,0.9263530001044273,18.211325311406195,10.83623521361174,6808,22460,3.299059929494712
outputs\ncaa_r1_controlled\runs\s2_L32_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s2_L32_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s2_L32_int8_symmetric_closed_clip_x,symmetric,int8,2,spline_component,closed,linear,clip_x,32,1.809300374588929e-05,2.267533818667289e-05,9.037554264068604e-05,1.809300374588929e-05,2.267533818667289e-05,9.037554264068604e-05,0.0,0.0,0.0,0.0,1.7881393432617188e-07,1.7881393432617188e-07,27.996941000019433,12.100198999978602,58.77575499995146,9.793647000042256,2.857561999990139,0.8377940001082607,20.568496851565875,11.689803219856802,6808,40380,5.931257344300823
outputs\ncaa_r1_controlled\runs\s2_L32_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s2_L32_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s2_L32_uint8_asymmetric_closed_clip_x,asymmetric,uint8,2,spline_component,closed,linear,clip_x,32,1.0189505701418966e-05,1.3001759725739248e-05,6.261467933654785e-05,1.0189505701418966e-05,1.3001759725739248e-05,6.261467933654785e-05,0.0,0.0,0.0,0.0,1.7881393432617188e-07,1.7881393432617188e-07,27.523662999883527,12.119209000084084,72.02624300000025,9.801275999925565,3.167591999954311,0.7953279999492224,22.738484944096065,12.323564618058619,6808,40380,5.931257344300823
